average,date,highest,lowest,order_count,volume,region_id,type_id,http_last_modified
1332666666.67,2022-10-31,1397500000,1211500000,23,24,10000002,33820,2022-11-01T11:09:09Z
24253.33,2022-10-31,42440,15160,3,3,10000002,33822,2022-11-01T11:09:09Z
144000,2022-10-31,144000,144000,1,10,10000002,33823,2022-11-01T11:09:09Z
1085000,2022-10-31,1177000,706200,49,102,10000002,33824,2022-11-01T11:09:09Z
40510000,2022-10-31,45500000,30190000,8,9,10000002,33826,2022-11-01T11:09:09Z
4689000,2022-10-31,5066500,4500000,6,6,10000002,33828,2022-11-01T11:09:09Z
4168333.33,2022-10-31,4699000,3903000,7,9,10000002,33830,2022-11-01T11:09:09Z
5098500,2022-10-31,5796000,4400000,6,6,10000002,33832,2022-11-01T11:09:09Z
3198000000,2022-10-31,3198000000,3198000000,1,1,10000002,33840,2022-11-01T11:09:09Z
114205882.35,2022-10-31,115300000,107700000,39,68,10000002,33842,2022-11-01T11:09:09Z
125000000,2022-10-31,126600000,108300000,84,178,10000002,33844,2022-11-01T11:09:09Z
122535714.29,2022-10-31,129050000,115100000,14,14,10000002,33846,2022-11-01T11:09:09Z
118766666.67,2022-10-31,121300000,108300000,14,18,10000002,33848,2022-11-01T11:09:09Z
42748000,2022-10-31,49800000,41005000,5,5,10000002,33850,2022-11-01T11:09:09Z
33396363.64,2022-10-31,38990000,31210000,11,11,10000002,33852,2022-11-01T11:09:09Z
5132888.89,2022-10-31,5299000,5000000,9,9,10000002,33856,2022-11-01T11:09:09Z
284800,2022-10-31,285800,284800,134,737,10000002,33890,2022-11-01T11:09:09Z
1495000,2022-10-31,1495000,1495000,1,1,10000002,33891,2022-11-01T11:09:09Z
2560000,2022-10-31,2563000,2560000,101,405,10000002,33892,2022-11-01T11:09:09Z
1528000,2022-10-31,1529000,1523000,55,194,10000002,33894,2022-11-01T11:09:09Z
7781000,2022-10-31,7782000,7780000,42,111,10000002,33896,2022-11-01T11:09:09Z
5929367.82,2022-10-31,5998000,5254000,21,87,10000002,33898,2022-11-01T11:09:09Z
36424571.43,2022-10-31,36780000,35970000,13,35,10000002,33900,2022-11-01T11:09:09Z
41550000,2022-10-31,41580000,41520000,2,6,10000002,33902,2022-11-01T11:09:09Z
182695238.1,2022-10-31,184300000,176150000,10,21,10000002,33904,2022-11-01T11:09:09Z
374400,2022-10-31,374900,345900,109,260,10000002,33915,2022-11-01T11:09:09Z
13000000,2022-10-31,13000000,13000000,1,1,10000002,33917,2022-11-01T11:09:09Z
14800000,2022-10-31,14800000,14800000,1,1,10000002,33918,2022-11-01T11:09:09Z
52000000,2022-10-31,52000000,52000000,1,1,10000002,33919,2022-11-01T11:09:09Z
296000000,2022-10-31,296000000,296000000,1,1,10000002,33920,2022-11-01T11:09:09Z
40925500,2022-10-31,77920000,3931000,2,2,10000002,33921,2022-11-01T11:09:09Z
167800000,2022-10-31,167800000,167800000,1,1,10000002,33922,2022-11-01T11:09:09Z
88990000,2022-10-31,88990000,88990000,1,1,10000002,33923,2022-11-01T11:09:09Z
35445000,2022-10-31,35450000,35440000,2,2,10000002,33924,2022-11-01T11:09:09Z
73000000,2022-10-31,73000000,73000000,2,2,10000002,33925,2022-11-01T11:09:09Z
220000000,2022-10-31,220000000,220000000,1,1,10000002,33926,2022-11-01T11:09:09Z
121900000,2022-10-31,121900000,121900000,1,1,10000002,33927,2022-11-01T11:09:09Z
248800000,2022-10-31,248800000,248800000,1,1,10000002,33928,2022-11-01T11:09:09Z
3799500,2022-10-31,3800000,3799000,2,2,10000002,33929,2022-11-01T11:09:09Z
7000000,2022-10-31,7000000,7000000,1,1,10000002,33933,2022-11-01T11:09:09Z
17000000,2022-10-31,17000000,17000000,2,2,10000002,33935,2022-11-01T11:09:09Z
12540000,2022-10-31,12540000,12540000,2,2,10000002,33936,2022-11-01T11:09:09Z
55700000,2022-10-31,55700000,55700000,2,2,10000002,33937,2022-11-01T11:09:09Z
53006666.67,2022-10-31,54510000,50000000,3,3,10000002,33938,2022-11-01T11:09:09Z
17010000,2022-10-31,17010000,17010000,2,2,10000002,33939,2022-11-01T11:09:09Z
19860000,2022-10-31,19860000,19860000,1,2,10000002,33940,2022-11-01T11:09:09Z
199200000,2022-10-31,200100000,198750000,3,3,10000002,33941,2022-11-01T11:09:09Z
145400000,2022-10-31,145400000,145400000,3,3,10000002,33942,2022-11-01T11:09:09Z
200455000,2022-10-31,238200000,91420000,4,4,10000002,33943,2022-11-01T11:09:09Z
256880000,2022-10-31,261500000,249950000,5,5,10000002,33944,2022-11-01T11:09:09Z
109800000,2022-10-31,110000000,109500000,4,5,10000002,33945,2022-11-01T11:09:09Z
598000000,2022-10-31,599000000,597500000,3,3,10000002,33946,2022-11-01T11:09:09Z
23190000,2022-10-31,23190000,23190000,1,1,10000002,33947,2022-11-01T11:09:09Z
66520000,2022-10-31,66520000,66520000,1,1,10000002,33948,2022-11-01T11:09:09Z
110000000,2022-10-31,110000000,110000000,1,1,10000002,33949,2022-11-01T11:09:09Z
237350000,2022-10-31,237800000,236900000,2,2,10000002,33950,2022-11-01T11:09:09Z
53000000,2022-10-31,53000000,53000000,1,1,10000002,33951,2022-11-01T11:09:09Z
105400000,2022-10-31,105400000,105400000,1,1,10000002,33952,2022-11-01T11:09:09Z
22200000,2022-10-31,22200000,22200000,1,1,10000002,33959,2022-11-01T11:09:09Z
30703333.33,2022-10-31,30845000,30420000,3,3,10000002,33960,2022-11-01T11:09:09Z
69440000,2022-10-31,69440000,69440000,1,1,10000002,33961,2022-11-01T11:09:09Z
115000000,2022-10-31,115000000,115000000,1,1,10000002,33962,2022-11-01T11:09:09Z
43202857.14,2022-10-31,45400000,29920000,7,7,10000002,33963,2022-11-01T11:09:09Z
202600000,2022-10-31,202600000,202600000,2,2,10000002,33964,2022-11-01T11:09:09Z
2729633.33,2022-10-31,3899500,389900,3,3,10000002,33965,2022-11-01T11:09:09Z
8900000,2022-10-31,12000000,5800000,2,2,10000002,33966,2022-11-01T11:09:09Z
25905000,2022-10-31,26000000,25810000,2,2,10000002,33967,2022-11-01T11:09:09Z
28115000,2022-10-31,28120000,28110000,2,2,10000002,33968,2022-11-01T11:09:09Z
13820000,2022-10-31,13975000,13510000,3,3,10000002,33969,2022-11-01T11:09:09Z
34000000,2022-10-31,34000000,34000000,2,2,10000002,33970,2022-11-01T11:09:09Z
77730000,2022-10-31,77960000,77500000,2,2,10000002,33971,2022-11-01T11:09:09Z
44743333.33,2022-10-31,66000000,34115000,3,3,10000002,33972,2022-11-01T11:09:09Z
173350000,2022-10-31,173400000,173300000,2,2,10000002,33973,2022-11-01T11:09:09Z
266950000,2022-10-31,267400000,266500000,2,2,10000002,33974,2022-11-01T11:09:09Z
118000000,2022-10-31,121000000,115000000,2,2,10000002,33975,2022-11-01T11:09:09Z
449500000,2022-10-31,449500000,449500000,2,2,10000002,33976,2022-11-01T11:09:09Z
5078785.71,2022-10-31,5200000,3508000,20,28,10000002,33981,2022-11-01T11:09:09Z
9785486.49,2022-10-31,10410000,8117000,37,74,10000002,33983,2022-11-01T11:09:09Z
72728148.15,2022-10-31,79500000,65480000,15,27,10000002,33985,2022-11-01T11:09:09Z
84840000,2022-10-31,84840000,84840000,1,1,10000002,34033,2022-11-01T11:09:09Z
402900000,2022-10-31,402900000,402900000,1,1,10000002,34045,2022-11-01T11:09:09Z
77756666.67,2022-10-31,97505000,38260000,3,3,10000002,34049,2022-11-01T11:09:09Z
172500000,2022-10-31,175000000,170000000,2,2,10000002,34080,2022-11-01T11:09:09Z
135900000,2022-10-31,135900000,135900000,1,1,10000002,34086,2022-11-01T11:09:09Z
202500000,2022-10-31,205000000,200000000,2,2,10000002,34091,2022-11-01T11:09:09Z
199400000,2022-10-31,199400000,199400000,1,1,10000002,34097,2022-11-01T11:09:09Z
4965714.29,2022-10-31,5000000,4880000,2,14,10000002,34122,2022-11-01T11:09:09Z
6772884.62,2022-10-31,12210000,5142500,9,26,10000002,34124,2022-11-01T11:09:09Z
277500000,2022-10-31,297900000,264800000,6,13,10000002,34126,2022-11-01T11:09:09Z
645000000,2022-10-31,645000000,645000000,1,1,10000002,34132,2022-11-01T11:09:09Z
1909375000,2022-10-31,1911500000,1907000000,8,8,10000002,34133,2022-11-01T11:09:09Z
19800,2022-10-31,19800,19800,1,1,10000002,34162,2022-11-01T11:09:09Z
140000,2022-10-31,140000,140000,1,1,10000002,34175,2022-11-01T11:09:09Z
20010,2022-10-31,20010,20010,1,1,10000002,34180,2022-11-01T11:09:09Z
262100,2022-10-31,262300,262000,637,2932,10000002,34201,2022-11-01T11:09:09Z
2811000,2022-10-31,3141000,2805000,225,653,10000002,34202,2022-11-01T11:09:09Z
695900,2022-10-31,696300,695400,709,3634,10000002,34203,2022-11-01T11:09:09Z
1019000,2022-10-31,1021000,1001000,833,3820,10000002,34204,2022-11-01T11:09:09Z
260700,2022-10-31,281000,259900,1013,7547,10000002,34205,2022-11-01T11:09:09Z
153000,2022-10-31,153400,152700,1095,7417,10000002,34206,2022-11-01T11:09:09Z
3503000,2022-10-31,3763000,3500000,169,355,10000002,34207,2022-11-01T11:09:09Z
4257000,2022-10-31,4259000,4254000,156,230,10000002,34208,2022-11-01T11:09:09Z
89000,2022-10-31,89000,89000,22,534,10000002,34260,2022-11-01T11:09:09Z
3490000,2022-10-31,3498000,3489000,17,242,10000002,34264,2022-11-01T11:09:09Z
116091.06,2022-10-31,224800,1011,26,35,10000002,34266,2022-11-01T11:09:09Z
125000,2022-10-31,125000,125000,1,1,10000002,34267,2022-11-01T11:09:09Z
492000,2022-10-31,492050,491900,49,122,10000002,34268,2022-11-01T11:09:09Z
