type_id,is_buy_order,price,system_id,volume_remain,order_count_history,volume_history,typeName,categoryID,categoryName,groupID,groupName,primaryIndex,subIndex,jita_price,buysell_difference,buysell_percentage,formula
5279,False,12990.0,30002187,48,65,132,F-23 Compact Remote Sensor Booster,7,Module,290,Remote Sensor Booster,Consumer Price Index,,8438.0,4552.0,53.94643280398198,148.35269021095044
5279,False,20000.0,30002659,79,72,146,F-23 Compact Remote Sensor Booster,7,Module,290,Remote Sensor Booster,Consumer Price Index,,8438.0,11562.0,137.02299123014933,253.2323635392633
5279,False,19900.0,30002053,45,14,46,F-23 Compact Remote Sensor Booster,7,Module,290,Remote Sensor Booster,Consumer Price Index,,8438.0,11462.0,135.83787627399857,138.8564957467541
5279,False,9000.0,30002510,82,25,40,F-23 Compact Remote Sensor Booster,7,Module,290,Remote Sensor Booster,Consumer Price Index,,8438.0,562.0,6.660346053567196,3.2489492944230225
5281,False,10000.0,30002187,57,65,130,Coadjunct Scoped Remote Sensor Booster,7,Module,290,Remote Sensor Booster,Consumer Price Index,,8607.0,1393.0,16.18450098756826,36.91201979620831
5281,False,8900.0,30002659,102,71,133,Coadjunct Scoped Remote Sensor Booster,7,Module,290,Remote Sensor Booster,Consumer Price Index,,8607.0,293.0,3.40420587893575,4.438817469592694
5281,False,6253.0,30002053,63,12,26,Coadjunct Scoped Remote Sensor Booster,7,Module,290,Remote Sensor Booster,Consumer Price Index,,8607.0,2354.0,27.349831532473566,11.287232061020836
5281,False,8000.0,30002510,25,19,24,Coadjunct Scoped Remote Sensor Booster,7,Module,290,Remote Sensor Booster,Consumer Price Index,,8607.0,607.0,7.052399209945394,6.770303241547579
5282,False,10000.0,30002187,51,62,143,Linked Enduring Remote Sensor Booster,7,Module,290,Remote Sensor Booster,Consumer Price Index,,7748.0,2252.0,29.065565307176044,81.49756546914067
5282,False,10000.0,30002659,127,82,142,Linked Enduring Remote Sensor Booster,7,Module,290,Remote Sensor Booster,Consumer Price Index,,7748.0,2252.0,29.065565307176044,32.498506091488174
5282,False,26800.0,30002053,74,10,24,Linked Enduring Remote Sensor Booster,7,Module,290,Remote Sensor Booster,Consumer Price Index,,7748.0,19052.0,245.8957150232318,79.74996162915626
5282,False,8400.0,30002510,85,21,30,Linked Enduring Remote Sensor Booster,7,Module,290,Remote Sensor Booster,Consumer Price Index,,7748.0,652.0,8.415074858027879,2.9700264204804276
5299,False,19000.0,30002187,948,73,191,LFT Enduring Sensor Dampener,7,Module,208,Sensor Dampener,Consumer Price Index,,14370.0,4630.0,32.21990257480863,6.491562649565873
5299,False,14000.0,30002659,31,108,195,LFT Enduring Sensor Dampener,7,Module,208,Sensor Dampener,Consumer Price Index,,14370.0,370.0,2.5748086290883787,16.19637686039464
5299,False,30000.0,30002053,79,12,22,LFT Enduring Sensor Dampener,7,Module,208,Sensor Dampener,Consumer Price Index,,14370.0,15630.0,108.76826722338204,30.289897201448163
5299,False,19860.0,30002510,598,14,19,LFT Enduring Sensor Dampener,7,Module,208,Sensor Dampener,Consumer Price Index,,14370.0,5490.0,38.20459290187891,1.2138583029025074
5301,False,38800.0,30002187,117,108,220,Kapteyn Compact Sensor Dampener,7,Module,208,Sensor Dampener,Consumer Price Index,,14270.0,24530.0,171.8990889978977,323.2290562353632
5301,False,11000.0,30002659,77,136,248,Kapteyn Compact Sensor Dampener,7,Module,208,Sensor Dampener,Consumer Price Index,,14270.0,3270.0,22.91520672740014,73.80482166747058
5301,False,72500.0,30002053,35,27,58,Kapteyn Compact Sensor Dampener,7,Module,208,Sensor Dampener,Consumer Price Index,,14270.0,58230.0,408.0588647512264,676.2118330163181
5301,False,90000.0,30002510,39,46,79,Kapteyn Compact Sensor Dampener,7,Module,208,Sensor Dampener,Consumer Price Index,,14270.0,75730.0,530.6937631394534,1074.995058667098
5302,False,9990.0,30002187,197,94,233,Phased Muon Scoped Sensor Dampener,7,Module,208,Sensor Dampener,Consumer Price Index,,5707.0,4283.0,75.04818643770807,88.76257583749228
5302,False,14000.0,30002659,112,89,180,Phased Muon Scoped Sensor Dampener,7,Module,208,Sensor Dampener,Consumer Price Index,,5707.0,8293.0,145.3127737865779,233.53838644271448
5302,False,84600.0,30002053,26,10,14,Phased Muon Scoped Sensor Dampener,7,Module,208,Sensor Dampener,Consumer Price Index,,5707.0,78893.0,1382.3900473103206,744.3638716286341
5302,False,6011.0,30002510,8,21,31,Phased Muon Scoped Sensor Dampener,7,Module,208,Sensor Dampener,Consumer Price Index,,5707.0,304.0,5.326791659365691,20.641317680042054
5319,False,7099.0,30002187,144,84,156,Baker Nunn Enduring Tracking Disruptor I,7,Module,291,Weapon Disruptor,Consumer Price Index,,5553.0,1546.0,27.840806771114714,30.16087400204094
5319,False,7999.0,30002659,85,131,334,Baker Nunn Enduring Tracking Disruptor I,7,Module,291,Weapon Disruptor,Consumer Price Index,,5553.0,2446.0,44.04826220061228,173.0837597059353
5319,False,11000.0,30002510,10,40,88,Baker Nunn Enduring Tracking Disruptor I,7,Module,291,Weapon Disruptor,Consumer Price Index,,5553.0,5447.0,98.0911219160814,863.2018728615163
5320,False,70000.0,30002187,336,96,155,Balmer Series Compact Tracking Disruptor I,7,Module,291,Weapon Disruptor,Consumer Price Index,,10030.0,59970.0,597.9062811565303,275.81986184304225
5320,False,10990.0,30002659,72,130,361,Balmer Series Compact Tracking Disruptor I,7,Module,291,Weapon Disruptor,Consumer Price Index,,10030.0,960.0,9.571286141575275,47.98936523762047
5320,False,19300.0,30002053,39,26,70,Balmer Series Compact Tracking Disruptor I,7,Module,291,Weapon Disruptor,Consumer Price Index,,10030.0,9270.0,92.42273180458625,165.88695452105225
5320,False,28800.0,30002510,126,47,71,Balmer Series Compact Tracking Disruptor I,7,Module,291,Weapon Disruptor,Consumer Price Index,,10030.0,18770.0,187.13858424725822,105.4511069964709
5321,False,8000.0,30002187,54,60,135,C-IR Compact Guidance Disruptor,7,Module,291,Weapon Disruptor,Consumer Price Index,,6134.0,1866.0,30.42060645582002,76.05151613955006
5321,False,14010.0,30002659,43,116,196,C-IR Compact Guidance Disruptor,7,Module,291,Weapon Disruptor,Consumer Price Index,,6134.0,7876.0,128.3990870557548,585.2609549518126
5321,False,8000.0,30002510,24,46,70,C-IR Compact Guidance Disruptor,7,Module,291,Weapon Disruptor,Consumer Price Index,,6134.0,1866.0,30.42060645582002,88.72676882947506
5322,False,99000.0,30002187,72,88,151,DDO Scoped Tracking Disruptor I,7,Module,291,Weapon Disruptor,Consumer Price Index,,6186.0,92814.0,1500.387972841901,3146.6469985989866
5322,False,7000.0,30002659,14,109,170,DDO Scoped Tracking Disruptor I,7,Module,291,Weapon Disruptor,Consumer Price Index,,6186.0,814.0,13.158745554477852,159.78476744723108
5322,False,3000.0,30002053,36,30,49,DDO Scoped Tracking Disruptor I,7,Module,291,Weapon Disruptor,Consumer Price Index,,6186.0,3186.0,51.50339476236664,70.10184287099904
5322,False,11000.0,30002510,124,42,67,DDO Scoped Tracking Disruptor I,7,Module,291,Weapon Disruptor,Consumer Price Index,,6186.0,4814.0,77.82088587132235,42.04838188208546
5339,False,24990.0,30002187,28,54,101,F-293 Scoped Remote Tracking Computer,7,Module,209,Remote Tracking Computer,Consumer Price Index,,7435.0,17555.0,236.11297915265635,851.6932462292248
5339,False,7000.0,30002659,264,87,138,F-293 Scoped Remote Tracking Computer,7,Module,209,Remote Tracking Computer,Consumer Price Index,,7435.0,435.0,5.850706119704102,3.0583236534816898
5339,False,7000.0,30002053,62,3,3,F-293 Scoped Remote Tracking Computer,7,Module,209,Remote Tracking Computer,Consumer Price Index,,7435.0,435.0,5.850706119704102,0.2830986832114888
5339,False,97950.0,30002510,8,15,22,F-293 Scoped Remote Tracking Computer,7,Module,209,Remote Tracking Computer,Consumer Price Index,,7435.0,90515.0,1217.4176193678547,3347.8984532616005
5340,False,116600.0,30002187,30,28,35,P-S Compact Remote Tracking Computer,7,Module,209,Remote Tracking Computer,Consumer Price Index,,6171.0,110429.0,1789.4830659536542,2087.7302436125965
5340,False,9000.0,30002659,204,36,59,P-S Compact Remote Tracking Computer,7,Module,209,Remote Tracking Computer,Consumer Price Index,,6171.0,2829.0,45.84346135148274,13.258648135968047
5340,False,7000.0,30002053,43,2,10,P-S Compact Remote Tracking Computer,7,Module,209,Remote Tracking Computer,Consumer Price Index,,6171.0,829.0,13.433803273375467,3.124140296133829
5340,False,9000.0,30002510,10,3,3,P-S Compact Remote Tracking Computer,7,Module,209,Remote Tracking Computer,Consumer Price Index,,6171.0,2829.0,45.84346135148274,13.753038405444823
5342,False,9999.0,30002187,9,24,35,Alfven Enduring Remote Tracking Computer,7,Module,209,Remote Tracking Computer,Consumer Price Index,,5784.0,4215.0,72.87344398340248,283.3967266021208
5342,False,30990.0,30002510,19,9,13,Alfven Enduring Remote Tracking Computer,7,Module,209,Remote Tracking Computer,Consumer Price Index,,5784.0,25206.0,435.7883817427386,298.1709980345054
