date,quantity,type,unit_price,total,client,where
2022.11.08 21:09,5,Hornet EC-300,"6,009 ISK","-30,045 ISK",Zakar Dubrosk,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 21:06,2,Hornet EC-300,"6,009 ISK","-12,018 ISK",Fortuna Talvanen,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 21:05,10,Crash,8 ISK,-80 ISK,GoDru,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:58,1,Gamma S,"3,128 ISK","-3,128 ISK",Moe Jlemo,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:52,35,Hornet EC-300,"6,009 ISK","-210,315 ISK",Sathil X,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:48,10,Hornet EC-300,"6,009 ISK","-60,090 ISK",Cyclone Air,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:44,3,F-90 Compact Sensor Booster,"3,197 ISK","-9,591 ISK",Presely Obannon,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:37,1,F-90 Compact Sensor Booster,"3,197 ISK","-3,197 ISK",Defius Martel,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:37,1,F-90 Compact Sensor Booster,"3,197 ISK","-3,197 ISK",Defius Martel,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:36,1,Gamma S,"3,128 ISK","-3,128 ISK",Defius Martel,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:36,1,Gamma S,"3,128 ISK","-3,128 ISK",Defius Martel,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:35,1,F-90 Compact Sensor Booster,"3,197 ISK","-3,197 ISK",LoliProtector,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:34,1,Standard L,"20,080 ISK","-20,080 ISK",Alexander Aurilen,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:33,5,Hornet EC-300,"6,009 ISK","-30,045 ISK",Silverfox Muramasa,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:32,1,Gamma S,"3,128 ISK","-3,128 ISK",Shir Valla'h,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:32,1,Standard L,"20,080 ISK","-20,080 ISK",Shir Valla'h,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:32,1,F-90 Compact Sensor Booster,"3,197 ISK","-3,197 ISK",Shir Valla'h,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:32,1,F-90 Compact Sensor Booster,"3,197 ISK","-3,197 ISK",Hasin Mishi,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:29,1,F-90 Compact Sensor Booster,"3,197 ISK","-3,197 ISK",Vada Ross,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:29,1,F-90 Compact Sensor Booster,"3,197 ISK","-3,197 ISK",Layhell,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:26,268,Hornet EC-300,"6,009 ISK","-1,610,412 ISK",Wreck Impi,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:25,4,Gamma S,"3,128 ISK","-12,512 ISK",Hive Overmind,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:22,8,F-90 Compact Sensor Booster,"3,197 ISK","-25,576 ISK",Vaneaok Rottweiler87,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:20,2,Standard L,"20,080 ISK","-40,160 ISK",travonius,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:17,1,Gamma S,"3,128 ISK","-3,128 ISK",Neo Tronsis,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:12,5,Hornet EC-300,"6,009 ISK","-30,045 ISK",Jade Swift,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:10,20,Hornet EC-300,"6,009 ISK","-120,180 ISK",Ganos Rova,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:09,"2,000",Caldari Navy Inferno Rocket,622 ISK,"-1,244,000 ISK",Yvette Tobooran,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:07,42,Hornet EC-300,"6,009 ISK","-252,378 ISK",Yvette Tobooran,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:06,1,F-90 Compact Sensor Booster,"3,197 ISK","-3,197 ISK",Yvette Tobooran,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:05,1,Hornet EC-300,"6,009 ISK","-6,009 ISK",Sarah Gingertail,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:05,1,Hornet EC-300,"6,009 ISK","-6,009 ISK",Sarah Gingertail,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:05,1,Hornet EC-300,"6,009 ISK","-6,009 ISK",Sarah Gingertail,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:05,1,Hornet EC-300,"6,009 ISK","-6,009 ISK",Sarah Gingertail,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:05,1,Hornet EC-300,"6,009 ISK","-6,009 ISK",Sarah Gingertail,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:05,1,Deluge Enduring Burst Jammer,"5,504 ISK","-5,504 ISK",Alexander Shirapov,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:05,1,Deluge Enduring Burst Jammer,"5,504 ISK","-5,504 ISK",mmitche,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:04,23,F-90 Compact Sensor Booster,"3,197 ISK","-73,531 ISK",Mihon Atram,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:01,1,F-90 Compact Sensor Booster,"3,197 ISK","-3,197 ISK",ForceEquals,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 20:00,1,F-90 Compact Sensor Booster,"3,197 ISK","-3,197 ISK",Julia D Ream,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 19:58,1,F-90 Compact Sensor Booster,"3,197 ISK","-3,197 ISK",Putamarian,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 19:55,2,F-90 Compact Sensor Booster,"3,197 ISK","-6,394 ISK",Star Fokker,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 19:55,1,F-90 Compact Sensor Booster,"3,197 ISK","-3,197 ISK",Stormswirl,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 19:52,1,F-90 Compact Sensor Booster,"3,197 ISK","-3,197 ISK",Supercell Lighning,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 19:52,1,F-90 Compact Sensor Booster,"3,197 ISK","-3,197 ISK",Supercell Lighning,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 19:52,1,F-90 Compact Sensor Booster,"3,197 ISK","-3,197 ISK",Supercell Lighning,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 19:51,1,F-90 Compact Sensor Booster,"3,197 ISK","-3,197 ISK",GroxLol,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 19:49,1,F-90 Compact Sensor Booster,"3,197 ISK","-3,197 ISK",Waluigi,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 19:49,10,Crash,8 ISK,-80 ISK,WolfSpace Virgon,Jita IV - Moon 4 - Caldari Navy Assembly Plant
